"Team2","School.x","Overall_G.x","Overall_W.x","Overall_L.x","Overall_WL_Percentage.x","Overall_SRS.x","Overall_SOS.x","Conf_W.x","Conf_L.x","Home_W.x","Home_L.x","Away_W.x","Away_L.x","Team_Points.x","Opp_Points.x","MP.x","FG.x","FGA.x","FG_Percentage.x","X3P.x","X3PA.x","X3P_Percentage.x","FT.x","FTA.x","FT_Percentage.x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","WL_Percentage.x","SRS.x","SOS.x","Pace.x","ORtg.x","FTr.x","X3PAr.x","True_Shooting_Percentage.x","True_Rebound_Percentage.x","Assist_Percentage.x","Steal_Percentage.x","Block_Percentage.x","Effective_FG_Percentage.x","TO_Percentage.x","O_Reb_Percentage.x","FT_Per_FG.x","Team1","School.y","Overall_G.y","Overall_W.y","Overall_L.y","Overall_WL_Percentage.y","Overall_SRS.y","Overall_SOS.y","Conf_W.y","Conf_L.y","Home_W.y","Home_L.y","Away_W.y","Away_L.y","Team_Points.y","Opp_Points.y","MP.y","FG.y","FGA.y","FG_Percentage.y","X3P.y","X3PA.y","X3P_Percentage.y","FT.y","FTA.y","FT_Percentage.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","WL_Percentage.y","SRS.y","SOS.y","Pace.y","ORtg.y","FTr.y","X3PAr.y","True_Shooting_Percentage.y","True_Rebound_Percentage.y","Assist_Percentage.y","Steal_Percentage.y","Block_Percentage.y","Effective_FG_Percentage.y","TO_Percentage.y","O_Reb_Percentage.y","FT_Per_FG.y","Tournament_Type","Winner_ID"
41,"UC-Davis",33,22,11,0.667,0.94,-1.84,12,4,10,2,9,7,2388,2241,1360,835,1795,0.465,213,572,0.372,505,704,0.717,265,1064,402,232,77,425,644,0.667,0.94,-1.84,67.4,104.2,0.392,0.319,0.561,48.4,48.1,10.1,6.9,0.525,16.6,24.8,0.281,323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,"NIT",323
56,"Cincinnati NCAA",36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,1440,944,2100,0.45,262,742,0.353,523,756,0.692,477,1413,570,256,194,404,561,0.861,20.25,3.53,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,199,"Nevada NCAA",37,29,8,0.784,14.44,4.93,15,3,14,1,11,3,3055,2703,1500,1049,2238,0.469,354,904,0.392,603,812,0.743,339,1316,598,230,150,357,630,0.784,14.44,4.93,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,"March Madness",199
58,"Clemson NCAA",35,25,10,0.714,17.17,9.25,11,7,15,1,4,6,2584,2307,1410,899,1971,0.456,288,786,0.366,498,660,0.755,310,1256,463,198,169,414,564,0.714,17.17,9.25,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,141,"Kansas NCAA",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,639,0.709,372,1388,649,254,160,456,597,0.795,21.39,11.87,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,"March Madness",141
62,"College of Charleston NCAA",34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,1385,875,1905,0.459,259,721,0.359,527,699,0.754,285,1129,387,177,119,339,563,0.765,1.83,-3.29,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277,19,"Auburn NCAA",34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,1360,906,2102,0.431,324,908,0.357,647,836,0.774,403,1290,481,252,180,411,672,0.765,15.97,7.29,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308,"March Madness",19
71,"Davidson NCAA",33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,1335,899,1874,0.48,353,907,0.389,368,461,0.798,225,1078,551,155,65,315,503,0.636,11.02,2.57,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196,144,"Kentucky NCAA",37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,1485,998,2115,0.472,195,546,0.357,649,930,0.698,439,1431,488,208,176,480,702,0.703,17.24,10.73,69.8,109.6,0.44,0.258,0.555,53.6,48.9,8,13.7,0.518,15.8,35.3,0.307,"March Madness",144
80,"Duke NCAA",37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574,0.784,24.44,9.71,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,251,"Rhode Island NCAA",34,26,8,0.765,11.81,4.61,15,3,15,1,7,4,2583,2338,1370,954,2096,0.455,236,670,0.352,439,630,0.697,386,1170,520,249,118,362,645,0.765,11.81,4.61,69.2,108.9,0.301,0.32,0.539,50,54.5,10.5,9.5,0.511,13.1,30.8,0.209,"March Madness",80
80,"Duke NCAA",37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574,0.784,24.44,9.71,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,298,"Syracuse NCAA",37,23,14,0.622,12.89,10.02,8,10,14,5,4,6,2466,2360,1500,832,1995,0.417,208,656,0.317,594,808,0.735,433,1375,395,258,197,460,611,0.622,12.89,10.02,64.3,102.2,0.405,0.329,0.518,52.6,47.5,10.7,17.3,0.469,16.2,34.1,0.298,"March Madness",80
80,"Duke NCAA",37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574,0.784,24.44,9.71,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,141,"Kansas NCAA",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,639,0.709,372,1388,649,254,160,456,597,0.795,21.39,11.87,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,"March Madness",141
94,"Florida Gulf Coast",35,23,12,0.657,1.93,-5.44,12,2,14,6,9,6,2847,2515,1400,1045,2117,0.494,254,699,0.363,503,680,0.74,368,1338,535,256,97,494,653,0.657,1.93,-5.44,73.3,111,0.321,0.33,0.583,53.8,51.2,10,7.6,0.554,16.8,31.7,0.238,231,"Oklahoma State",36,21,15,0.583,12.45,9.12,8,10,15,6,3,7,2757,2637,1450,959,2224,0.431,296,851,0.348,543,717,0.757,463,1348,514,237,143,466,692,0.583,12.45,9.12,70.8,107.4,0.322,0.383,0.538,51.1,53.6,9.2,10.4,0.498,15.4,34.2,0.244,"NIT",231
96,"Florida State NCAA",35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,1420,994,2124,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652,0.657,15.79,8.5,72.2,109.4,0.37,0.368,0.562,51.9,52.6,9.4,14,0.532,15.4,31.8,0.256,109,"Gonzaga NCAA",37,32,5,0.865,18.43,2.59,17,1,15,1,10,1,3091,2505,1500,1125,2261,0.498,328,891,0.368,513,725,0.708,405,1477,564,234,134,420,631,0.865,18.43,2.59,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,"March Madness",96
96,"Florida State NCAA",35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,1420,994,2124,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652,0.657,15.79,8.5,72.2,109.4,0.37,0.368,0.562,51.9,52.6,9.4,14,0.532,15.4,31.8,0.256,187,"Missouri NCAA",33,20,13,0.606,13.81,9.19,10,8,13,3,5,6,2399,2246,1330,794,1765,0.45,306,799,0.383,505,688,0.734,332,1225,443,170,140,469,594,0.606,13.81,9.19,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.1,0.286,"March Madness",187
106,"Georgia State NCAA",35,24,11,0.686,3.23,-2.78,12,6,11,3,9,6,2614,2356,1415,937,2033,0.461,323,839,0.385,417,615,0.678,303,1182,455,256,160,395,639,0.686,3.23,-2.78,68,108.7,0.303,0.413,0.562,47.7,48.6,10.6,15.1,0.54,14.5,25.6,0.205,56,"Cincinnati NCAA",36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,1440,944,2100,0.45,262,742,0.353,523,756,0.692,477,1413,570,256,194,404,561,0.861,20.25,3.53,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,"March Madness",56
